strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
decentralized_greedy,0.05,725888,14,10,400,2734,0.8295537673738113,5.67,25.906713963249363,51.49439119797909,3654.0,0.6170212765957447,16,5.0625,0,18
antsql,0.05,725888,14,10,400,2734,0.8408924652523775,5.7475,36.99952146776268,74.8901109991938,746.0,0.24499178981937603,16,2.6875,0,18
static_centralized,0.05,233917,14,10,400,2734,0.7699341623994148,5.2625,16.605019377726038,30.178715794227177,0.0,0.0,12,0.0,0,19
adaptive_centralized,0.05,233917,14,10,400,2734,0.9030724213606437,6.1725,16.794697758844258,31.13104623321111,266.0,0.09725776965265082,12,0.0,0,19
decentralized_greedy,0.05,233917,14,10,400,2734,0.7951719092904169,5.435,16.584801436718912,30.257951170783052,4263.0,0.662265030293615,12,0.0,0,19
antsql,0.05,233917,14,10,400,2734,0.9257498171177762,6.3275,28.695736248401822,62.2366280815973,766.0,0.23233242341522597,12,0.7272727272727273,1,19
static_centralized,0.1,600800,14,10,400,2858,0.5517844646606018,3.9425,13.952355933397415,24.813006701558265,0.0,0.0,28,0.0,0,0
adaptive_centralized,0.1,600800,14,10,400,2858,0.8621413575927221,6.16,16.522606124374217,27.218499847142496,266.0,0.09743589743589744,28,0.0,0,0
decentralized_greedy,0.1,600800,14,10,400,2858,0.6028691392582225,4.3075,13.532529843924213,24.147567797889778,4026.0,0.7002957036006262,28,0.037037037037037035,1,0
antsql,0.1,600800,14,10,400,2858,0.8624912526242128,6.1625,29.55580163584238,62.445322810413046,806.0,0.24640782635279732,28,0.10714285714285714,0,0
static_centralized,0.1,485541,14,10,400,2795,0.6805008944543828,4.755,35.802417256573364,64.03738889840689,0.0,0.0,29,0.10344827586206896,0,1
adaptive_centralized,0.1,485541,14,10,400,2795,0.8153846153846154,5.6975,35.133133434289384,61.14985864789814,266.0,0.10451866404715128,29,0.6896551724137931,0,1
decentralized_greedy,0.1,485541,14,10,400,2795,0.7298747763864043,5.1,35.11430509617765,62.67857269116239,3939.0,0.6588058203712995,29,0.3793103448275862,0,1
antsql,0.1,485541,14,10,400,2795,0.8,5.59,67.94125996914234,149.61741996452457,866.0,0.2791747259832366,29,0.0,3,1
static_centralized,0.1,623650,14,10,400,2830,0.5936395759717314,4.2,23.538346911606432,43.070869689239245,0.0,0.0,30,0.1,0,2
adaptive_centralized,0.1,623650,14,10,400,2830,0.7173144876325088,5.075,25.463722672060204,44.75787275215562,266.0,0.11585365853658537,30,0.1,0,2
decentralized_greedy,0.1,623650,14,10,400,2830,0.6123674911660777,4.3325,23.187180833184726,43.070869689239245,3132.0,0.6437821171634122,30,0.43333333333333335,0,2
antsql,0.1,623650,14,10,400,2830,0.7303886925795053,5.1675,39.175827280609305,84.13518559463658,878.0,0.29813242784380306,30,0.5333333333333333,0,2
static_centralized,0.1,877085,14,10,400,2828,0.6775106082036775,4.79,15.230120204479459,27.288934901842474,0.0,0.0,23,0.0,0,3
adaptive_centralized,0.1,877085,14,10,400,2828,0.8949787835926449,6.3275,16.666990944891374,28.515268005066908,266.0,0.09510189488737933,23,0.0,0,3
decentralized_greedy,0.1,877085,14,10,400,2828,0.75,5.3025,15.073527558328088,27.288934901842474,4001.0,0.6535445932701731,23,0.30434782608695654,0,3
antsql,0.1,877085,14,10,400,2828,0.9084158415841584,6.4225,26.867281192543153,57.04223240826127,680.0,0.2092951677439212,23,2.4347826086956523,0,3
static_centralized,0.1,556863,14,10,400,2741,0.5322874863188617,3.6475,18.72928331755638,37.06382508366373,0.0,0.0,32,0.0,0,4
adaptive_centralized,0.1,556863,14,10,400,2741,0.6858810653046333,4.7,19.407676407079364,32.41982813048331,266.0,0.1239515377446412,32,0.0,0,4
decentralized_greedy,0.1,556863,14,10,400,2741,0.5425027362276541,3.7175,18.718475151881588,37.06382508366373,3324.0,0.6909166493452504,32,0.0,0,4
antsql,0.1,556863,14,10,400,2741,0.7161619846771251,4.9075,34.87705764374892,71.39604297596101,677.0,0.25643939393939397,32,0.0,0,4
static_centralized,0.1,994037,14,10,400,2884,0.4719140083217753,3.4025,18.384562779876113,35.14279677309712,0.0,0.0,21,13.285714285714286,0,5
adaptive_centralized,0.1,994037,14,10,400,2884,0.7905686546463245,5.7,23.503572466684158,41.56954664933649,266.0,0.1044776119402985,21,0.0,0,5
decentralized_greedy,0.1,994037,14,10,400,2884,0.5273925104022191,3.8025,18.240784940260955,33.67840006248044,3553.0,0.7002364998029168,21,4.571428571428571,0,5
antsql,0.1,994037,14,10,400,2884,0.8221220527045769,5.9275,39.37358863807811,80.10064089856974,817.0,0.25627352572145545,21,0.0,0,5
static_centralized,0.1,495739,14,10,400,2768,0.470014450867052,3.2525,16.174585651675105,28.394329711220877,0.0,0.0,33,1.0303030303030303,0,6
adaptive_centralized,0.1,495739,14,10,400,2768,0.7142341040462428,4.9425,19.805515399381896,32.48469283639447,266.0,0.1185911725367811,33,0.3939393939393939,0,6
decentralized_greedy,0.1,495739,14,10,400,2768,0.5332369942196532,3.69,15.460947026864323,28.054708775013523,3158.0,0.6814846784635304,33,0.36666666666666664,3,6
antsql,0.1,495739,14,10,400,2768,0.6907514450867052,4.78,31.580750812770983,66.7847087778393,753.0,0.2825515947467167,33,0.6666666666666666,0,6
static_centralized,0.1,91110,14,10,400,2828,0.6163366336633663,4.3575,18.323647516350885,31.420394225126735,0.0,0.0,32,2.064516129032258,1,7
adaptive_centralized,0.1,91110,14,10,400,2828,0.8500707213578501,6.01,20.079973940427273,33.453295781639994,266.0,0.099625468164794,32,0.21875,0,7
decentralized_greedy,0.1,91110,14,10,400,2828,0.6333097595473833,4.4775,18.147104050069213,31.420394225126735,4008.0,0.6911536471805484,32,7.78125,0,7
antsql,0.1,91110,14,10,400,2828,0.8896746817538896,6.29,33.275933766491264,67.50396731723552,756.0,0.2310513447432763,32,0.0,0,7
static_centralized,0.1,479545,14,10,400,2862,0.45422781271837875,3.25,17.161633726907283,33.65871190139063,0.0,0.0,30,0.8666666666666667,0,8
